Technology	Year	Capacity [kg/yr]	On Site?	Lifetime [yr]
Large Biogas + Centralized Natural Gas Reforming	2025	682897.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2025	3414480.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2025	68289.7	False	20
Large Biogas + Centralized Natural Gas Reforming	2005	3414480.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2005	682897.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2025	6828970.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2005	6828970.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2025	341448.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2025	1707240.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2025	170724.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2005	1707240.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2005	341448.0	False	20
Large Biogas + Centralized Natural Gas Reforming	2005	68289.7	False	20
Large Biogas + Centralized Natural Gas Reforming	2005	170724.0	False	20
Large Biogas + Onsite Natural Gas Reforming	2025	1278.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2025	682897.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2025	3414480.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2025	68289.7	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	3414480.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	1278.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	682897.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2025	6828970.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	6828970.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2025	341448.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2025	1707240.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2025	170724.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	1707240.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	341448.0	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	68289.7	True	20
Large Biogas + Onsite Natural Gas Reforming	2005	170724.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	1278.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	682897.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	3414480.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	68289.7	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	3414480.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	1278.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	682897.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	6828970.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	6828970.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	341448.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	1707240.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2025	170724.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	1707240.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	341448.0	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	68289.7	True	20
Medium Biogas + Onsite Natural Gas Reforming	2005	170724.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	1278.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	682897.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	3414480.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	68289.7	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	3414480.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	1278.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	682897.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	6828970.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	6828970.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	341448.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	1707240.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2025	170724.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	1707240.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	341448.0	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	68289.7	True	20
Small Biogas + Onsite Natural Gas Reforming	2005	170724.0	True	20
