Vehicle	Model Year	Fuel	Fuel Efficiency [mi/gge]
VCC 21400 (GAS LHD1)	2010	GAS	10.21724556
VCC 21400 (GAS LHD1)	2011	GAS	10.10613601
VCC 21400 (GAS LHD1)	2012	GAS	10.21362645
VCC 21400 (GAS LHD1)	2013	GAS	10.19320577
VCC 21400 (GAS LHD1)	2014	GAS	10.22670703
VCC 21400 (GAS LHD1)	2015	GAS	10.27714485
VCC 21400 (GAS LHD1)	2016	GAS	10.48870932
VCC 21400 (GAS LHD1)	2017	GAS	10.70893892
VCC 21400 (GAS LHD1)	2018	GAS	11.18038913
VCC 21400 (GAS LHD1)	2019	GAS	11.17924821
VCC 21400 (GAS LHD1)	2020	GAS	11.17825067
VCC 22400 (DSL LHD1)	2010	DSL	20.03930956
VCC 22400 (DSL LHD1)	2011	DSL	20.08596266
VCC 22400 (DSL LHD1)	2012	DSL	20.05796067
VCC 22400 (DSL LHD1)	2013	DSL	20.63863379
VCC 22400 (DSL LHD1)	2014	DSL	20.88282383
VCC 22400 (DSL LHD1)	2015	DSL	21.03818362
VCC 22400 (DSL LHD1)	2016	DSL	21.71433278
VCC 22400 (DSL LHD1)	2017	DSL	22.43488009
VCC 22400 (DSL LHD1)	2018	DSL	24.02301947
VCC 22400 (DSL LHD1)	2019	DSL	24.02778584
VCC 22400 (DSL LHD1)	2020	DSL	24.03272178
VCC 22601 (DSL T6 Ag)	2010	DSL	9.057284307
VCC 22601 (DSL T6 Ag)	2011	DSL	8.873167971
VCC 22601 (DSL T6 Ag)	2012	DSL	8.515300815
VCC 22601 (DSL T6 Ag)	2013	DSL	8.719353965
VCC 22601 (DSL T6 Ag)	2014	DSL	9.265635376
VCC 22601 (DSL T6 Ag)	2015	DSL	9.302694609
VCC 22601 (DSL T6 Ag)	2016	DSL	9.297959356
VCC 22601 (DSL T6 Ag)	2017	DSL	9.657886901
VCC 22601 (DSL T6 Ag)	2018	DSL	9.65646862
VCC 22601 (DSL T6 Ag)	2019	DSL	9.657006315
VCC 22601 (DSL T6 Ag)	2020	DSL	9.65890012
VCC 24724 (NG T7 SWCVng)	2010	NG	2.65866817
VCC 24724 (NG T7 SWCVng)	2011	NG	2.671616921
VCC 24724 (NG T7 SWCVng)	2012	NG	2.676012523
VCC 24724 (NG T7 SWCVng)	2013	NG	2.675931633
VCC 24724 (NG T7 SWCVng)	2014	NG	3.046896421
VCC 24724 (NG T7 SWCVng)	2015	NG	3.046862338
VCC 24724 (NG T7 SWCVng)	2016	NG	3.046869704
VCC 24724 (NG T7 SWCVng)	2017	NG	3.135800039
VCC 24724 (NG T7 SWCVng)	2018	NG	3.135779055
VCC 24724 (NG T7 SWCVng)	2019	NG	3.135796859
VCC 24724 (NG T7 SWCVng)	2020	NG	3.135787016
VCC 24724 (NG T7 SWCVng)	2010	ELEC	0.426769304
VCC 24724 (NG T7 SWCVng)	2011	ELEC	0.987823311
VCC 24724 (NG T7 SWCVng)	2012	ELEC	0.292964967
VCC 24724 (NG T7 SWCVng)	2013	ELEC	2.208362032
VCC 24724 (NG T7 SWCVng)	2014	ELEC	2.513846506
VCC 24724 (NG T7 SWCVng)	2015	ELEC	0.323535537
VCC 24724 (NG T7 SWCVng)	2016	ELEC	0.784963681
VCC 24724 (NG T7 SWCVng)	2017	ELEC	2.458553225
VCC 24724 (NG T7 SWCVng)	2018	ELEC	0.739335514
VCC 24724 (NG T7 SWCVng)	2019	ELEC	1.844221592
VCC 24724 (NG T7 SWCVng)	2020	ELEC	2.516998148
