Region	Vocation	Vehicle	Model Year	Market Share [veh/veh]
1	commercial	VCC 21400 (GAS LHD1)	2010	0.0951801092872572
1	commercial	VCC 21400 (GAS LHD1)	2011	0.125082792157228
1	commercial	VCC 21400 (GAS LHD1)	2012	0.198449057649057
1	commercial	VCC 21400 (GAS LHD1)	2013	0.296283292680717
1	commercial	VCC 21400 (GAS LHD1)	2014	0.296689296683951
1	commercial	VCC 21400 (GAS LHD1)	2015	0.297796420653915
1	commercial	VCC 21400 (GAS LHD1)	2016	0.29857016365567
1	commercial	VCC 21400 (GAS LHD1)	2017	0.298555253694551
1	commercial	VCC 21400 (GAS LHD1)	2018	0.298867690287776
1	commercial	VCC 21400 (GAS LHD1)	2019	0.298770526445868
1	commercial	VCC 21400 (GAS LHD1)	2020	0.298779146943765
1	industrial	VCC 21400 (GAS LHD1)	2010	0.069994310137381
1	industrial	VCC 21400 (GAS LHD1)	2011	0.0829667028578128
1	industrial	VCC 21400 (GAS LHD1)	2012	0.105084590171591
1	industrial	VCC 21400 (GAS LHD1)	2013	0.123224241501233
1	industrial	VCC 21400 (GAS LHD1)	2014	0.123393098615973
1	industrial	VCC 21400 (GAS LHD1)	2015	0.123853551528721
1	industrial	VCC 21400 (GAS LHD1)	2016	0.124175351280476
1	industrial	VCC 21400 (GAS LHD1)	2017	0.124169150262289
1	industrial	VCC 21400 (GAS LHD1)	2018	0.124299092646536
1	industrial	VCC 21400 (GAS LHD1)	2019	0.124258682214033
1	industrial	VCC 21400 (GAS LHD1)	2020	0.124262267522506
1	industrial	VCC 22400 (DSL LHD1)	2010	0.816946446005448
1	industrial	VCC 22400 (DSL LHD1)	2011	0.780046971496067
1	industrial	VCC 22400 (DSL LHD1)	2012	0.686461260147797
1	industrial	VCC 22400 (DSL LHD1)	2013	0.547062350818192
1	industrial	VCC 22400 (DSL LHD1)	2014	0.54781221961853
1	industrial	VCC 22400 (DSL LHD1)	2015	0.5498566442972
1	industrial	VCC 22400 (DSL LHD1)	2016	0.551285548090985
1	industrial	VCC 22400 (DSL LHD1)	2017	0.551258194409843
1	industrial	VCC 22400 (DSL LHD1)	2018	0.551835115696419
1	industrial	VCC 22400 (DSL LHD1)	2019	0.551655747747082
1	industrial	VCC 22400 (DSL LHD1)	2020	0.551671699561842
1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0075578472430066
1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.00146237160106707
1	agricultural	VCC 22601 (DSL T6 Ag)	2012	9.13796839268876e-05
1	commercial	VCC 24724 (NG T7 SWCVng)	2010	0.0103212873269073
1	commercial	VCC 24724 (NG T7 SWCVng)	2011	0.0104411618878249
1	commercial	VCC 24724 (NG T7 SWCVng)	2012	0.00991371234762782
1	commercial	VCC 24724 (NG T7 SWCVng)	2013	0.0334301149998584
1	commercial	VCC 24724 (NG T7 SWCVng)	2014	0.0321053850815457
1	commercial	VCC 24724 (NG T7 SWCVng)	2015	0.0284933835201642
1	commercial	VCC 24724 (NG T7 SWCVng)	2016	0.0259689369728698
1	commercial	VCC 24724 (NG T7 SWCVng)	2017	0.0260174016333176
1	commercial	VCC 24724 (NG T7 SWCVng)	2018	0.0249981013692695
1	commercial	VCC 24724 (NG T7 SWCVng)	2019	0.0253150435930171
1	commercial	VCC 24724 (NG T7 SWCVng)	2020	0.0252868859718859
2	commercial	VCC 21400 (GAS LHD1)	2010	0.250188934808339
2	commercial	VCC 21400 (GAS LHD1)	2011	0.352240070966899
2	commercial	VCC 21400 (GAS LHD1)	2012	0.399429620030891
2	commercial	VCC 21400 (GAS LHD1)	2013	0.296309479308797
2	commercial	VCC 21400 (GAS LHD1)	2014	0.295549338360971
2	commercial	VCC 21400 (GAS LHD1)	2015	0.296694437363274
2	commercial	VCC 21400 (GAS LHD1)	2016	0.297466445998228
2	commercial	VCC 21400 (GAS LHD1)	2017	0.29737172171476
2	commercial	VCC 21400 (GAS LHD1)	2018	0.297694304762579
2	commercial	VCC 21400 (GAS LHD1)	2019	0.297547359305927
2	commercial	VCC 21400 (GAS LHD1)	2020	0.297523059644593
2	industrial	VCC 21400 (GAS LHD1)	2010	0.102424700083161
2	industrial	VCC 21400 (GAS LHD1)	2011	0.114069238444254
2	industrial	VCC 21400 (GAS LHD1)	2012	0.137832484218945
2	industrial	VCC 21400 (GAS LHD1)	2013	0.1232351325463
2	industrial	VCC 21400 (GAS LHD1)	2014	0.122918989836755
2	industrial	VCC 21400 (GAS LHD1)	2015	0.123395236608539
2	industrial	VCC 21400 (GAS LHD1)	2016	0.123716315057812
2	industrial	VCC 21400 (GAS LHD1)	2017	0.123676919214333
2	industrial	VCC 21400 (GAS LHD1)	2018	0.123811081541634
2	industrial	VCC 21400 (GAS LHD1)	2019	0.123749966898372
2	industrial	VCC 21400 (GAS LHD1)	2020	0.123739860687488
2	industrial	VCC 22400 (DSL LHD1)	2010	0.611862306126327
2	industrial	VCC 22400 (DSL LHD1)	2011	0.506763633362696
2	industrial	VCC 22400 (DSL LHD1)	2012	0.418726199137948
2	industrial	VCC 22400 (DSL LHD1)	2013	0.547086320157191
2	industrial	VCC 22400 (DSL LHD1)	2014	0.545682845719022
2	industrial	VCC 22400 (DSL LHD1)	2015	0.547797081414874
2	industrial	VCC 22400 (DSL LHD1)	2016	0.549222467430815
2	industrial	VCC 22400 (DSL LHD1)	2017	0.549047574763191
2	industrial	VCC 22400 (DSL LHD1)	2018	0.549643170513593
2	industrial	VCC 22400 (DSL LHD1)	2019	0.549371860446833
2	industrial	VCC 22400 (DSL LHD1)	2020	0.549326994998824
2	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.00334279394034364
2	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.000585149267706471
2	agricultural	VCC 22601 (DSL T6 Ag)	2012	2.81502284504263e-05
2	commercial	VCC 24724 (NG T7 SWCVng)	2010	0.0321812650418299
2	commercial	VCC 24724 (NG T7 SWCVng)	2011	0.0263419079584453
2	commercial	VCC 24724 (NG T7 SWCVng)	2012	0.0439835463837653
2	commercial	VCC 24724 (NG T7 SWCVng)	2013	0.0333690679877115
2	commercial	VCC 24724 (NG T7 SWCVng)	2014	0.0358488260832522
2	commercial	VCC 24724 (NG T7 SWCVng)	2015	0.032113244613313
2	commercial	VCC 24724 (NG T7 SWCVng)	2016	0.0295947715131448
2	commercial	VCC 24724 (NG T7 SWCVng)	2017	0.029903784307716
2	commercial	VCC 24724 (NG T7 SWCVng)	2018	0.0288514431821948
2	commercial	VCC 24724 (NG T7 SWCVng)	2019	0.0293308133488681
2	commercial	VCC 24724 (NG T7 SWCVng)	2020	0.0294100846690952
